source,destination,type,status,reason,verified,owner
/sobre-rauvia/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/servicios/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/contacto/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/nuestro-metodo/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/consultoria_gratis/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/test-madurez-sistemica/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/blog/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/blindaje-operativo-2026/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/delegacion-hueca-caos-a-sistema-90-dias/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/metricas-de-rentabilidad-para-agencias-en-cdmx/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/guia-gobernanza-rauvia/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/claridad-operativa-el-regalo-que-si-negocio-necesita/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/ruta-90-dias-agencias/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/diagnostico-de-fuga-de-capital-mejora-la-eficiencia-en-tu-agencia/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/ejecucion-ruta-90-solo-vs-acompanamiento/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/que-hace-rauvia-ruta-90-dias/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/ia-estrategia-contenido-agencias/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/wp-content/uploads/2025/11/RAUVIA_PRESENTACION_GUIA_2025.pdf,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/contacto-anterior/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/servicios-antiguos/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
/acerca-de/,https://rauvia.com.mx/,301,active,legacy_url_consolidation,yes,seo
